Energy (keV_ee),Efficiency,Total Exposure (kg days)
4.158,0.881,
4.164,0.881,
4.17,0.88,
4.176,0.88,
4.182,0.88,
4.188,0.88,
4.194,0.88,
4.2,0.88,
4.206,0.88,
4.212,0.88,
4.218,0.88,
4.224,0.88,
4.23,0.88,
4.236,0.88,
4.242,0.88,
4.248,0.88,
4.254,0.88,
4.26,0.88,
4.266,0.88,
4.272,0.88,
4.278,0.88,
4.284,0.88,
4.29,0.88,
4.296,0.88,
4.302,0.88,
4.308,0.88,
4.314,0.88,
4.32,0.88,
4.326,0.88,
4.332,0.88,
4.338,0.88,
4.344,0.88,
4.35,0.88,
4.356,0.88,
4.362,0.88,
4.368,0.88,
4.374,0.88,
4.38,0.88,
4.386,0.88,
4.392,0.88,
4.398,0.88,
4.404,0.88,
4.41,0.88,
4.416,0.88,
4.422,0.88,
4.428,0.88,
4.434,0.88,
4.44,0.88,
4.446,0.88,
4.452,0.88,
4.458,0.88,
4.464,0.88,
4.47,0.88,
4.476,0.88,
4.482,0.88,
4.488,0.88,
4.494,0.88,
4.5,0.88,
4.506,0.88,
4.512,0.88,
4.518,0.88,
4.524,0.88,
4.53,0.88,
4.536,0.88,
4.542,0.88,
4.548,0.88,
4.554,0.88,
4.56,0.88,
4.566,0.88,
4.572,0.88,
4.578,0.88,
4.584,0.88,
4.59,0.88,
4.596,0.88,
4.602,0.88,
4.608,0.88,
4.614,0.88,
4.62,0.88,
4.626,0.88,
4.632,0.88,
4.638,0.88,
4.644,0.88,
4.65,0.88,
4.656,0.88,
4.662,0.88,
4.668,0.88,
4.674,0.88,
4.68,0.88,
4.686,0.88,
4.692,0.88,
4.698,0.88,
4.704,0.88,
4.71,0.88,
4.716,0.88,
4.722,0.88,
4.728,0.88,
4.734,0.88,
4.74,0.88,
4.746,0.88,
4.752,0.88,
4.758,0.88,
4.764,0.88,
4.77,0.88,
4.776,0.88,
4.782,0.88,
4.788,0.88,
4.794,0.88,
4.8,0.88,
4.806,0.88,
4.812,0.88,
4.818,0.88,
4.824,0.88,
4.83,0.88,
4.836,0.88,
4.842,0.88,
4.848,0.88,
4.854,0.88,
4.86,0.88,
4.866,0.88,
4.872,0.88,
4.878,0.88,
4.884,0.88,
4.89,0.88,
4.896,0.88,
4.902,0.88,
4.908,0.88,
4.914,0.88,
4.92,0.88,
4.926,0.88,
4.932,0.88,
4.938,0.88,
4.944,0.88,
4.95,0.88,
4.956,0.88,
4.962,0.88,
4.968,0.88,
4.974,0.88,
4.98,0.88,
4.986,0.88,
4.992,0.88,
4.998,0.88,
5.005,0.88,
5.011,0.88,
5.017,0.88,
5.023,0.88,
5.029,0.88,
5.035,0.88,
5.041,0.88,
5.047,0.88,
5.053,0.88,
5.059,0.88,
5.065,0.88,
5.071,0.88,
5.077,0.88,
5.083,0.88,
5.089,0.88,
5.095,0.88,
5.101,0.88,
5.107,0.879,
5.113,0.879,
5.119,0.879,
5.125,0.879,
5.131,0.879,
5.137,0.879,
5.143,0.879,
5.149,0.879,
5.155,0.879,
5.161,0.879,
5.167,0.879,
5.173,0.879,
5.179,0.879,
5.185,0.879,
5.191,0.879,
5.197,0.879,
5.203,0.879,
5.209,0.879,
5.215,0.879,
5.221,0.879,
5.227,0.879,
5.233,0.879,
5.239,0.879,
5.245,0.879,
5.251,0.879,
5.257,0.879,
5.263,0.879,
5.269,0.879,
5.275,0.879,
5.281,0.879,
5.287,0.879,
5.293,0.879,
5.299,0.879,
5.305,0.879,
5.311,0.879,
5.317,0.879,
5.323,0.879,
5.329,0.879,
5.335,0.879,
5.341,0.879,
5.347,0.879,
5.353,0.879,
5.359,0.879,
5.365,0.879,
5.371,0.879,
5.377,0.879,
5.383,0.879,
5.389,0.879,
5.395,0.879,
5.401,0.879,
5.407,0.879,
5.413,0.879,
5.419,0.879,
5.425,0.879,
5.431,0.879,
5.437,0.879,
5.443,0.879,
5.449,0.879,
5.455,0.879,
5.461,0.879,
5.467,0.879,
5.473,0.879,
5.479,0.879,
5.485,0.879,
5.491,0.879,
5.497,0.879,
5.503,0.879,
5.509,0.879,
5.515,0.879,
5.521,0.879,
5.527,0.879,
5.533,0.879,
5.539,0.879,
5.545,0.879,
5.551,0.879,
5.557,0.879,
5.563,0.879,
5.569,0.879,
5.575,0.879,
5.581,0.879,
5.587,0.879,
5.593,0.879,
5.599,0.879,
5.605,0.879,
5.611,0.879,
5.617,0.879,
5.623,0.879,
5.629,0.879,
5.635,0.879,
5.641,0.879,
5.647,0.879,
5.653,0.879,
5.659,0.879,
5.665,0.879,
5.671,0.879,
5.677,0.879,
5.683,0.879,
5.689,0.879,
5.695,0.879,
5.701,0.879,
5.707,0.879,
5.713,0.879,
5.719,0.879,
5.725,0.879,
5.731,0.879,
5.737,0.879,
5.743,0.879,
5.749,0.879,
5.755,0.879,
5.761,0.879,
5.767,0.879,
5.773,0.879,
5.779,0.879,
5.785,0.879,
5.791,0.879,
5.797,0.879,
5.803,0.879,
5.809,0.879,
5.815,0.879,
5.821,0.879,
5.827,0.879,
5.833,0.879,
5.839,0.879,
5.845,0.879,
