Energy (keV_ee),Sigma_x (pixels),Front Surface Probability,Bulk Probability,Back Surface Probability
0.615107,0.956496,0,0.102207,0.897793
0.696349,0.858898,0,0.37558,0.62442
3.5995,0.967429,0,0.192182,0.807818
1.41008,0.0768968,0.837037,0.162963,0
0.43784,1.00652,0,0.115207,0.884793
5.8699,0.0944478,0.909219,0.0907813,0
2.38268,0.584986,0,1,0
1.043,0.885219,0,0.314508,0.685492
3.8644,1.07379,0,0,1
1.1223,0.829942,0,0.729386,0.270614
5.03264,1.01093,0,0.0634758,0.936524
4.78329,0.9489,0,0.694699,0.305301
0.129058,0.587216,0.00299278,0.468946,0.528061
0.0735895,0.616864,0.00556738,0.259961,0.734471
1.44151,1.00282,0,0.0580751,0.941925
1.76083,0.100182,0.904146,0.0958538,0
3.18689,0.301577,0.0257484,0.974252,0
1.39571,0.156599,0.442399,0.557601,0
1.40059,0.498799,0,1,0
0.530552,0.924423,0,0.153391,0.846609
3.18098,0.411572,0,1,0
3.12016,0.22823,0.25059,0.74941,0
1.12225,0.763536,0,0.995031,0.00496922
2.19705,0.689954,0,1,0
0.610834,0.813705,0,0.545949,0.454051
1.38313,0.417079,0.00227274,0.997727,0
1.10789,0.905342,0,0.274154,0.725846
1.88098,0.959524,0,0.148444,0.851556
2.5906,0.991961,0,0.108627,0.891373
5.43463,0.33455,0.0139757,0.986024,0
0.539294,0.656482,0,0.99031,0.00968957
2.17495,0.55863,0,1,0
1.75489,0.637169,0,1,0
1.82708,0.203411,0.175068,0.824932,0
5.94637,0.998545,0,0.0870301,0.91297
1.67963,0.0785344,0.962253,0.037747,0
3.9659,0.986761,0,0.113945,0.886055
4.96285,1.01774,0,0.080834,0.919166
5.48756,0.73698,0,1,0
0.711586,1.01976,0,0.0669377,0.933062
5.52999,0.101807,0.781002,0.218998,0
1.49652,0.761848,0,1,0
2.31237,0.19286,0.26736,0.73264,0
1.78439,0.31321,0.0577795,0.942221,0
2.55171,0.992191,0,0.108672,0.891328
2.43728,0.625953,0,1,0
1.82156,0.597193,0,1,0
4.26205,0.446003,0,1,0
3.97759,0.966302,0,0.190853,0.809147
1.44585,0.540239,0,1,0
0.954111,0.979167,0,0.0697141,0.930286
5.38082,0.286687,0.072633,0.927367,0
0.148064,0.934898,0,0.141439,0.858561
5.16516,0.743104,0,1,0
4.30922,0.493687,0,1,0
1.7232,0.042768,0.974577,0.0254232,0
5.01946,0.0857633,0.832971,0.167029,0
5.70124,0.673043,0,1,0
0.916422,0.720845,0,1,0
0.795723,0.860103,0,0.411902,0.588098
1.87457,0.0344388,0.894533,0.105467,0
5.70144,0.0861235,0.851631,0.148369,0
0.306634,0.794471,0,0.340877,0.659123
0.908902,1.00064,0,0.115237,0.884763
3.689,0.961999,0,0.231721,0.768279
0.1842,0.354733,0.0262471,0.936961,0.0367923
0.10966,0.57844,0.000548258,0.311343,0.688109
0.180606,0.853094,0,0.199768,0.800232
1.01704,0.978867,0,0.120083,0.879917
4.8657,0.191014,0.357221,0.642779,0
4.18069,0.982497,0,0.0976952,0.902305
1.81775,1.08869,0,0,1
4.05279,0.981324,0,0.107274,0.892726
4.40381,0.646433,0,1,0
0.198138,0.706588,0,0.381212,0.618788
3.66097,1.06475,0,0,1
1.25227,0.813762,0,0.963667,0.0363331
